"Year_of_Death","Month_of_Death","Month_Text","Deaths","Cancer_Deaths","Heart_Disease_Deaths","Pneumonia_and_Flu_Deaths","Stroke_Deaths","Covid19_Deaths","Septicemia_Deaths","COPD_Deaths"
"2000","01","January","8878","1712","2879","322","597","0","117","545"
"2000","02","February","7115","1570","2270","185","496","0","108","380"
"2000","03","March","6976","1665","2103","162","471","0","84","352"
"2000","04","April","6755","1558","2145","114","472","0","55","332"
"2000","05","May","6918","1610","2226","90","476","0","85","321"
"2000","06","June","6552","1616","2029","91","432","0","86","311"
"2000","07","July","6788","1642","2130","107","407","0","83","324"
"2000","08","August","6697","1640","2031","106","416","0","78","300"
"2000","09","September","6770","1642","2081","145","460","0","71","296"
"2000","10","October","7269","1682","2297","124","485","0","95","326"
"2000","11","November","7101","1580","2297","153","453","0","88","343"
"2000","12","December","7945","1685","2588","200","527","0","107","434"
"2001","01","January","7808","1653","2533","197","510","0","100","399"
"2001","02","February","6729","1489","2062","200","470","0","81","342"
"2001","03","March","7700","1612","2473","196","561","0","71","404"
"2001","04","April","7111","1551","2228","190","473","0","71","387"
"2001","05","May","6972","1645","2233","162","458","0","65","341"
"2001","06","June","7081","1645","2196","178","443","0","58","333"
"2001","07","July","6931","1607","2112","149","440","0","67","309"
"2001","08","August","6910","1731","2066","110","414","0","72","316"
"2001","09","September","6593","1657","1956","149","420","0","57","267"
"2001","10","October","7350","1709","2225","190","480","0","88","333"
"2001","11","November","6858","1564","2145","150","444","0","66","314"
"2001","12","December","7151","1621","2232","164","499","0","63","339"
"2002","01","January","7510","1736","2309","196","514","0","79","353"
"2002","02","February","7148","1554","2194","211","468","0","72","395"
"2002","03","March","8122","1719","2516","256","514","0","102","469"
"2002","04","April","7122","1580","2141","171","507","0","71","387"
"2002","05","May","7113","1626","2219","147","478","0","63","357"
"2002","06","June","6861","1606","2049","135","453","0","68","351"
"2002","07","July","7005","1647","2120","128","460","0","80","327"
"2002","08","August","7000","1703","2195","122","435","0","74","303"
"2002","09","September","6566","1568","1896","129","413","0","64","290"
"2002","10","October","7325","1803","2172","149","421","0","75","358"
"2002","11","November","7299","1584","2221","159","519","0","71","380"
"2002","12","December","7577","1640","2289","183","541","0","85","399"
"2003","01","January","7744","1624","2394","208","520","0","70","396"
"2003","02","February","6890","1477","2123","165","468","0","78","368"
"2003","03","March","7351","1609","2219","199","457","0","85","406"
"2003","04","April","6971","1588","2088","145","423","0","87","331"
"2003","05","May","6917","1575","2125","134","398","0","74","357"
"2003","06","June","6879","1637","2072","133","410","0","68","353"
"2003","07","July","6937","1605","2093","126","454","0","72","346"
"2003","08","August","6831","1630","1998","131","440","0","70","347"
"2003","09","September","6740","1613","1999","132","434","0","61","313"
"2003","10","October","7289","1779","2112","128","436","0","72","352"
"2003","11","November","6976","1629","2049","145","436","0","64","366"
"2003","12","December","7988","1740","2391","269","497","0","99","461"
"2004","01","January","8431","1723","2508","335","529","0","98","510"
"2004","02","February","6965","1553","2021","164","453","0","68","364"
"2004","03","March","7308","1670","2150","184","427","0","78","381"
"2004","04","April","6633","1502","1962","161","382","0","61","371"
"2004","05","May","6756","1646","1937","133","413","0","77","368"
